id,name,category,year,parts,raw_price,mean_price
75338-1,Ambush on Ferrix,Star Wars,2022,679,"['\n$49.95\n', '\n$60.99\n', '\n$69.99\n', '\n$59.12\n', '\n$119.90\n', '\n$49.95\n', '\n$60.99\n', '\n$69.99\n', '\n$59.12\n', '\n$119.90\n']",71.99
7962-1,Anakin's and Sebulba's Podracers,Star Wars,2011,810,"['\n$282.00\n', '\n$282.00\n']",282
75087-1,Anakin's Custom Jedi Starfighter,Star Wars,2015,370,[],0
30244-1,Anakin's Jedi Intercepter,Star Wars,2014,45,"['\n$7.43\n', '\n$7.43\n']",7.43
75281-1,Anakin’s Jedi Interceptor,Star Wars,2020,248,"['\n$68.90\n', '\n$69.99\n', '\n$79.00\n', '\n$68.90\n', '\n$69.99\n', '\n$79.00\n']",72.63
75214-1,Anakin's Jedi Starfighter,Star Wars,2018,247,"['\n$59.99\n', '\n$40.46\n', '\n$59.99\n', '\n$40.46\n']",50.22
7669-2,Anakin's Jedi Starfighter Clone Wars White Box,Star Wars,2008,152,[],0
7131-1,Anakin's Podracer,Star Wars,1999,136,[],0
30057-1,Anakin's Podracer,Star Wars,2012,38,"['\n$18.58\n', '\n$18.58\n']",18.58
75258-1,Anakin's Podracer - 20th Anniversary Edition,Star Wars,2019,279,"['\n$50.00\n', '\n$48.00\n', '\n$50.00\n', '\n$48.00\n']",49
8037-1,Anakin's Y-wing Starfighter,Star Wars,2009,570,"['\n$210.23\n', '\n$210.23\n']",210.23
30247-1,ARC-170 Starfighter,Star Wars,2014,54,"['\n$4.60\n', '\n$4.60\n']",4.6
75072-1,ARC-170 Starfighter,Star Wars,2015,95,"['\n$36.00\n', '\n$36.00\n']",36
6967-1,ARC-170 Starfighter - Mini,Star Wars,2005,42,"['\n$55.09\n', '\n$55.09\n']",55.09
6967-2,ARC-170 Starfighter - Mini - Korean Duracell promo package with 8 AA batteries,Star Wars,2005,42,[],0
8018-1,Armored Assault Tank (AAT),Star Wars,2009,407,"['\n$220.00\n', '\n$220.00\n']",220
75283-1,Armored Assault Tank (AAT),Star Wars,2020,286,"['\n$18.99\n', '\n$39.99\n', '\n$40.00\n', '\n$18.99\n', '\n$39.99\n', '\n$40.00\n']",32.99
75098-1,Assault on Hoth,Star Wars > Ultimate Collector Series,2016,2144,"['\n$450.00\n', '\n$450.00\n']",450
75043-1,AT-AP,Star Wars,2014,717,"['\n$96.59\n', '\n$96.59\n']",96.59
7671-1,AT-AP Walker,Star Wars,2008,392,[],0
75234-1,AT-AP Walker,Star Wars,2019,689,"['\n$144.95\n', '\n$144.95\n']",144.95
75054-1,AT-AT,Star Wars,2014,1138,"['\n$180.00\n', '\n$180.00\n']",180
75075-1,AT-AT,Star Wars,2015,88,"['\n$21.00\n', '\n$21.00\n']",21
911615-1,AT-AT,Star Wars,2016,48,"['\n$3.58\n', '\n$3.58\n']",3.58
912061-1,AT-AT,Star Wars,2020,51,"['\n$99.99\n', '\n$4.20\n', '\n$99.99\n', '\n$4.20\n']",52.1
75288-1,AT-AT,Star Wars,2020,1267,"['\n$153.59\n', '\n$169.99\n', '\n$181.01\n', '\n$153.59\n', '\n$169.99\n', '\n$181.01\n']",168.2
75313-1,AT-AT,Star Wars > Ultimate Collector Series,2021,6785,"['\n$638.78\n', '\n$849.99\n', '\n$842.94\n', '\n$638.78\n', '\n$849.99\n', '\n$842.94\n']",777.24
912282-1,AT-AT,Star Wars,2022,52,"['\n$172.00\n', '\n$3.44\n', '\n$172.00\n', '\n$3.44\n']",87.72
4483-1,AT-AT [Black Box],Star Wars,2003,1070,[],0
4483-2,AT-AT [Blue Box],Star Wars,2004,1070,[],0
4489-1,AT-AT - Mini,Star Wars,2003,98,[],0
75298-1,AT-AT vs. Tauntaun Microfighters,Star Wars,2021,205,"['\n$16.99\n', '\n$19.99\n', '\n$15.00\n', '\n$16.99\n', '\n$19.99\n', '\n$15.00\n']",17.33
8129-1,AT-AT Walker,Star Wars,2010,815,[],0
75083-1,AT-DP,Star Wars,2015,500,"['\n$158.40\n', '\n$125.00\n', '\n$158.40\n', '\n$125.00\n']",141.7
30274-1,AT-DP,Star Wars,2015,65,"['\n$12.99\n', '\n$12.99\n']",12.99
75130-1,AT-DP,Star Wars,2016,76,"['\n$15.91\n', '\n$15.91\n']",15.91
911948-1,AT-M6,Star Wars,2019,52,"['\n$3.13\n', '\n$3.13\n']",3.13
