set_id,set_name_x,release_year,num_parts,num_figs,retail_price,num_unique_figs,set_rating,retire_price,pop_price,retire_month,category,return
21150,Minecraft Skeleton BigFig with Magma Cube,2019,142,0,41.86,0,4.8,14.34,46.2,20-Jan,Minecraft,1.10368
21151,The End Battle,2019,222,2,64.4,0,4.7,23.32,54.14,22-Feb,Minecraft,0.84068
21153,The Wool Farm,2019,260,1,64.4,0,4.6,19.25,32.36,21-Oct,Minecraft,0.50248
21154,The Blaze Bridge,2019,372,4,128.85,2,4.7,31.54,54.12,22-Mar,Minecraft,0.42002
21155,The Creeper Mine,2019,834,4,257.73,2,4.7,99.46,156.92,21-Jul,Minecraft,0.60885
21316,The Flintstones,2019,748,4,177.18,0,5.0,62.17,135.11,21-Jan,LEGO Ideas and CUUSOO,0.76256
21317,Steamboat Willie,2019,751,2,257.73,0,5.0,97.54,219.37,20-Nov,LEGO Ideas and CUUSOO,0.85116
21320,Dinosaur Fossils,2019,911,2,177.18,0,4.8,73.52,116.17,22-Jan,LEGO Ideas and CUUSOO,0.65566
31086,Futuristic Flyer,2019,157,0,48.3,0,4.5,14.46,28.95,20-Nov,Creator > Creator 3-in-1,0.59938
31087,Dune Buggy,2019,147,0,41.86,0,4.7,11.28,24.25,20-Nov,Creator > Creator 3-in-1,0.57931
31091,Shuttle Transporter,2019,341,0,80.52,0,4.8,26.61,56.78,20-Dec,Creator > Creator 3-in-1,0.70517
31094,Race Plane,2019,333,1,80.52,1,4.7,25.96,54.32,21-Jan,Creator > Creator 3-in-1,0.67462
31096,Twin-Rotor Helicopter,2019,569,1,144.96,1,4.7,45.28,89.36,21-Jan,Creator > Creator 3-in-1,0.61645
31098,Outback Cabin,2019,305,2,80.52,0,4.7,32.17,57.12,21-Jan,Creator > Creator 3-in-1,0.70939
41160,Ariel's Seaside Castle,2019,115,1,70.85,1,4.8,20.79,58.7,20-Jan,Disney Princess,0.82851
41161,Aladdin and Jasmine's Palace Adventures,2019,193,2,80.52,0,4.8,22.78,77.74,20-Jan,Disney Princess,0.96547
41164,Enchanted Treehouse,2019,302,3,144.96,1,4.5,36.85,81.56,20-Nov,Disney > Frozen,0.56264
41165,Anna's Canoe Expedition,2019,108,2,57.96,0,4.4,17.08,34.07,21-May,Disney > Frozen,0.58782
41167,Arendelle Castle Village,2019,521,3,241.62,2,4.6,67.26,128.93,21-Dec,Disney > Frozen,0.53361
41169,Olaf,2019,122,0,41.86,0,4.6,13.95,24.5,20-Dec,Disney > Frozen,0.58528
41337,Underwater Loop,2019,389,0,80.52,0,4.6,25.86,45.9,20-Dec,Friends,0.57004
41359,Heart Box Friendship Pack,2019,199,0,48.3,0,4.5,17.71,33.39,20-Jan,Friends,0.6913
41362,Heartlake City Supermarket,2019,139,0,80.52,0,4.6,25.19,61.98,20-Jun,Friends,0.76975
41364,Stephanie's Buggy & Trailer,2019,166,0,57.96,0,4.4,14.31,34.23,20-Feb,Friends,0.59058
41366,Olivia's Cupcake Cafe,2019,335,0,80.52,0,4.4,29.39,58.16,20-Nov,Friends,0.72231
41367,Stephanie's Horse Jumping,2019,352,0,112.74,0,4.6,40.73,61.05,20-Nov,Friends,0.54151
41368,Andrea's Talent Show,2019,492,0,144.96,0,4.5,39.88,73.11,20-Mar,Friends,0.50435
41369,Mia's House,2019,725,0,193.29,0,4.7,76.72,136.28,20-Dec,Friends,0.70505
41371,Mia's Horse Trailer,2019,216,0,80.52,0,4.7,29.9,60.49,21-Jan,Friends,0.75124
41373,Funny Octopus Ride,2019,324,0,112.74,0,4.6,37.36,64.39,20-Dec,Friends,0.57114
41374,Andrea's Pool Party,2019,468,0,144.96,0,4.7,51.11,93.02,20-Dec,Friends,0.64169
41375,Heartlake City Amusement Pier,2019,1267,0,386.61,0,4.7,119.89,212.31,21-Jan,Friends,0.54916
41376,Turtles Rescue Mission,2019,225,0,57.96,0,4.7,21.52,42.86,20-Jun,Friends,0.73948
41378,Dolphins Rescue Mission,2019,374,0,112.74,0,4.6,36.32,67.04,20-Dec,Friends,0.59464
41379,Heartlake City Restaurant,2019,640,0,177.18,0,4.6,47.71,93.03,21-Mar,Friends,0.52506
41380,Lighthouse Rescue Center,2019,622,0,177.18,0,4.7,54.73,107.77,21-Feb,Friends,0.60825
42090,Getaway Truck,2019,128,0,57.96,0,4.5,21.22,31.66,21-Nov,Technic,0.54624
42091,Police Pursuit,2019,120,0,57.96,0,4.7,18.08,37.37,20-Nov,Technic,0.64476
42094,Tracked Loader,2019,827,0,177.18,0,4.7,87.08,194.11,20-Jan,Technic,1.09555
42095,Remote-Controlled Stunt Racer,2019,324,0,225.51,0,4.8,110.62,199.44,22-Jan,Technic,0.8844
42097,Compact Crawler Crane,2019,920,0,257.73,0,4.7,94.45,186.57,20-Oct,Technic,0.7239
42098,Car Transporter,2019,2493,0,451.05,0,4.8,191.37,357.89,21-Mar,Technic,0.79346
60207,Sky Police Drone Chase,2019,192,3,57.96,1,4.5,28.13,43.78,20-Dec,City > Police,0.75535
60208,Sky Police Parachute Arrest,2019,218,3,80.52,3,4.5,29.16,60.37,20-Nov,City > Police,0.74975
60209,Sky Police Diamond Heist,2019,400,3,144.96,3,4.7,56.07,111.97,20-Mar,City > Police,0.77242
