set_id    ,set_name_x                                                          ,release_year ,theme_id ,num_parts ,num_figs ,retail_price ,num_unique_figs ,set_rating ,retire_price ,pop_price ,retire_month ,year ,parts ,raw_price                                                                                                                ,mean_price ,category                                         ,ages   ,list_price          ,num_reviews ,piece_count ,play_star_rating ,review_difficulty ,set_name_y                                         ,star_rating ,theme_name                            ,val_star_rating ,country
75272     ,Sith TIE Fighter                                                    ,        2020 ,     158 ,      470 ,       3 ,       64.99 ,              1 ,       4.5 ,      68.5   ,   66.01  ,21-Nov       ,2020 ,  470 ,"['\n$79.85\n', '\n$49.00\n', '\n$67.89\n', '\n$79.85\n', '\n$49.00\n', '\n$67.89\n']                                  " ,     65.58 ,Star Wars                                        ,       ,                    ,            ,            ,                 ,                  ,                                                   ,            ,                                      ,                ,
75273     ,Poe Dameron's X-wing Fighter                                        ,        2020 ,     158 ,      761 ,       4 ,       89.99 ,              3 ,       4.7 ,      81.59  ,   85.92  ,21-Nov       ,2020 ,  761 ,"['\n$139.98\n', '\n$129.00\n', '\n$94.80\n', '\n$139.98\n', '\n$129.00\n', '\n$94.80\n']                              " ,    121.26 ,Star Wars                                        ,       ,                    ,            ,            ,                 ,                  ,                                                   ,            ,                                      ,                ,
75274     ,TIE Fighter Pilot                                                   ,        2020 ,     158 ,      724 ,       0 ,       54.99 ,              0 ,       4.8 ,      89.59  ,  172.27  ,22-Jan       ,2020 ,  724 ,"['\n$179.99\n', '\n$174.95\n', '\n$179.99\n', '\n$174.95\n']                                                          " ,    177.47 ,Star Wars                                        ,       ,                    ,            ,            ,                 ,                  ,                                                   ,            ,                                      ,                ,
75275     ,A-Wing Starfighter                                                  ,        2020 ,     171 ,     1672 ,       1 ,      179.0  ,              1 ,       4.8 ,     210.6   ,  246.16  ,21-Nov       ,2020 , 1672 ,"['\n$277.99\n', '\n$329.79\n', '\n$277.99\n', '\n$329.79\n']                                                          " ,    303.89 ,Star Wars > Ultimate Collector Series            ,       ,                    ,            ,            ,                 ,                  ,                                                   ,            ,                                      ,                ,
75276     ,Stormtrooper                                                        ,        2020 ,     158 ,      647 ,       0 ,       54.99 ,              0 ,       4.8 ,      62.31  ,  123.98  ,22-Mar       ,2020 ,  647 ,"['\n$109.99\n', '\n$114.97\n', '\n$74.04\n', '\n$99.95\n', '\n$109.99\n', '\n$114.97\n', '\n$74.04\n', '\n$99.95\n']  " ,     99.74 ,Star Wars                                        ,       ,                    ,            ,            ,                 ,                  ,                                                   ,            ,                                      ,                ,
75281     ,Anakin's Jedi Interceptor                                           ,        2020 ,     158 ,      248 ,       2 ,       24.99 ,              1 ,       4.7 ,      34.83  ,   43.44  ,21-Dec       ,2020 ,  248 ,"['\n$68.90\n', '\n$69.99\n', '\n$79.00\n', '\n$68.90\n', '\n$69.99\n', '\n$79.00\n']                                  " ,     72.63 ,Star Wars                                        ,       ,                    ,            ,            ,                 ,                  ,                                                   ,            ,                                      ,                ,
75284     ,Knights of Ren Transport Ship                                       ,        2020 ,     158 ,      595 ,       3 ,       64.99 ,              2 ,       4.6 ,      59.37  ,   62.3   ,21-Dec       ,2020 ,  595 ,"['\n$85.55\n', '\n$50.00\n', '\n$76.00\n', '\n$85.55\n', '\n$50.00\n']                                                " ,     69.42 ,Star Wars                                        ,       ,                    ,            ,            ,                 ,                  ,                                                   ,            ,                                      ,                ,
75291     ,Death Star Final Duel                                               ,        2020 ,     158 ,      775 ,       5 ,       89.99 ,              1 ,       4.9 ,      89.98  ,  107.46  ,21-Nov       ,2020 ,  775 ,"['\n$149.99\n', '\n$125.36\n', '\n$149.99\n', '\n$125.36\n']                                                          " ,    137.68 ,Star Wars                                        ,       ,                    ,            ,            ,                 ,                  ,                                                   ,            ,                                      ,                ,
75293     ,Resistance I-TS Transport                                           ,        2020 ,     158 ,      932 ,       4 ,       89.99 ,              0 ,       4.6 ,     116.91  ,  103.92  ,22-Feb       ,2020 ,  932 ,"['\n$130.00\n', '\n$118.01\n', '\n$130.00\n', '\n$118.01\n']                                                          " ,    124.0  ,Star Wars                                        ,       ,                    ,            ,            ,                 ,                  ,                                                   ,            ,                                      ,                ,
75939     ,Dr. Wu's Lab: Baby Dinosaurs Breakout                               ,        2020 ,     602 ,      164 ,       2 ,       17.99 ,              0 ,       4.7 ,      22.74  ,   20.9   ,22-Jan       ,2020 ,  164 ,"['\n$33.13\n', '\n$29.98\n', '\n$24.90\n', '\n$33.13\n', '\n$29.98\n', '\n$24.90\n']                                  " ,     29.34 ,Jurassic World                                   ,       ,                    ,            ,            ,                 ,                  ,                                                   ,            ,                                      ,                ,
