set_id,set_name_x,release_year,num_parts,num_figs,retail_price,num_unique_figs,set_rating,pop_price,category,return
70671,Lloyd's Journey,2019,82,2,41.86,1,4.7,39.13,Ninjago,0.93478
70672,Cole's Dirt Bike,2019,221,3,57.96,0,4.8,55.57,Ninjago,0.95876
70674,Fire Fang,2019,469,4,128.85,2,4.8,113.26,Ninjago,0.87901
70675,Katana 4x4,2019,461,5,144.96,2,4.7,88.44,Ninjago,0.6101
70678,Castle of the Forsaken Emperor,2019,1223,7,289.95,2,4.9,277.85,Ninjago,0.95827
70679,The Ultra Dragon,2019,952,6,257.73,0,4.8,216.03,Ninjago,0.8382
71044,Disney Train and Station,2019,2927,5,966.57,0,4.8,775.1,Disney,0.80191
75232,Kylo Ren & Sith Trooper,2019,240,0,57.96,0,4.9,40.33,Brickheadz,0.69582
75236,Duel on Starkiller Base,2019,191,2,57.96,1,4.8,44.84,Star Wars,0.77364
75237,TIE Fighter Attack,2019,77,2,57.96,0,4.8,59.04,Star Wars,1.01863
75240,Major Vonreg's TIE Fighter,2019,496,4,209.4,0,4.9,132.81,Star Wars,0.63424
75241,Action Battle Echo Base Defense,2019,504,6,177.18,4,4.6,90.72,Star Wars,0.51202
75242,Black Ace TIE Interceptor,2019,396,3,144.96,2,4.7,90.56,Star Wars,0.62472
75243,Slave I - 20th Anniversary Edition,2019,1007,6,354.39,3,4.9,309.12,Star Wars,0.87226
75244,Tantive IV,2019,1772,6,579.93,2,5,388.81,Star Wars,0.67044
75246,Death Star Cannon,2019,159,2,57.96,0,4.6,36.08,Star Wars,0.6225
75247,Rebel A-Wing Starfighter,2019,62,2,38.63,0,4.7,34.79,Star Wars,0.9006
75248,Resistance A-Wing Starfighter,2019,269,2,80.52,0,4.7,54.1,Star Wars,0.67188
75249,Resistance Y-Wing Starfighter,2019,578,5,193.29,3,4.7,108.49,Star Wars,0.56128
75250,Pasaana Speeder Chase,2019,373,4,144.96,2,4.6,63.11,Star Wars,0.43536
75253,Droid Commander,2019,1177,0,579.93,0,4.7,367.24,Star Wars,0.63325
75254,AT-ST Raider,2019,540,4,161.07,2,4.8,68.68,Star Wars,0.4264
75256,Kylo Ren's Shuttle,2019,1005,6,322.17,4,4.6,264.21,Star Wars,0.82009
75258,Anakin's Podracer - 20th Anniversary Edition,2019,279,3,80.52,2,4.8,58.64,Star Wars,0.72827
75261,Clone Scout Walker - 20th Anniversary Edition,2019,250,5,80.52,3,4.9,106.89,Star Wars,1.3275
75890,Ferrari F40 Competizione,2019,212,1,41.86,1,4.6,32.56,Speed Champions,0.77783
75892,McLaren Senna,2019,222,1,41.86,1,4.8,30.62,Speed Champions,0.73149
75893,2018 Dodge Challenger SRT Demon and 1970 Dodge Charger R/T,2019,485,3,112.74,0,4.8,58.93,Speed Champions,0.52271
75894,1967 Mini Cooper S Rally and 2018 MINI John Cooper Works Buggy,2019,496,4,144.96,0,4.8,90.74,Speed Champions,0.62597
75895,1974 Porsche 911 Turbo 3.0,2019,180,1,41.86,1,4.8,38.59,Speed Champions,0.92188
75934,Dilophosaurus on the Loose,2019,168,3,64.4,2,4.7,47.14,Jurassic World,0.73199
75936,Jurassic Park: T. rex Rampage,2019,3120,6,708.81,5,4.8,499.66,Jurassic World,0.70493
75937,Triceratops Rampage,2019,447,4,177.18,3,4.8,131.95,Jurassic World,0.74472
75938,T. rex vs Dino-Mech Battle,2019,716,4,257.73,2,4.8,263.79,Jurassic World,1.02351
75945,Expecto Patronum,2019,121,4,64.4,1,4.8,42.6,Harry Potter,0.66149
75946,Hungarian Horntail Triwizard Challenge,2019,265,4,96.62,0,4.8,63.45,Harry Potter,0.6567
75957,The Knight Bus,2019,403,3,112.74,2,4.8,81.76,Harry Potter,0.72521
75958,Beauxbatons' Carriage: Arrival at Hogwarts,2019,431,4,144.96,0,4.8,97,Harry Potter,0.66915
75965,The Rise of Voldemort,2019,186,6,64.4,0,4.9,52.34,Harry Potter,0.81273
76114,Spider-Man's Spider Crawler,2019,426,4,112.74,3,4.8,86.64,Super Heroes Marvel > Spider-Man,0.76849
76117,Batman Mech vs. Poison Ivy Mech,2019,394,4,112.74,0,4.8,79.73,Super Heroes DC > Batman,0.7072
76118,Mr. Freeze Batcycle Battle,2019,212,3,64.4,1,4.8,54.59,Super Heroes DC > Batman,0.84767
76119,Batmobile: Pursuit of The Joker,2019,352,2,80.52,0,4.9,76.54,Super Heroes DC > Batman,0.95057
76120,Batman Batwing and The Riddler Heist,2019,501,4,161.07,2,4.7,105.87,Super Heroes DC > Batman,0.65729
76122,Batcave Clayface Invasion,2019,1073,6,306.07,3,4.8,194.7,Super Heroes DC > Batman,0.63613
76124,War Machine Buster,2019,362,4,96.62,2,4.7,61.21,Super Heroes Marvel > Avengers,0.63351
76126,Avengers Ultimate Quinjet,2019,838,6,241.62,3,4.3,140.87,Super Heroes Marvel > Avengers,0.58302
76127,Captain Marvel and The Skrull Attack,2019,307,3,80.52,1,4.7,59.2,Super Heroes Marvel,0.73522
76128,Molten Man Battle,2019,302,3,80.52,2,4.8,57.22,Super Heroes Marvel > Spider-Man,0.71063
76129,Hydro-Man Attack,2019,479,4,112.74,3,4.6,63.67,Super Heroes Marvel > Spider-Man,0.56475
76130,Stark Jet and the Drone Attack,2019,504,4,177.18,1,4.7,123.8,Super Heroes Marvel > Spider-Man,0.69872
76134,Spider-Man: Doc Ock Diamond Heist,2019,151,3,80.52,2,4.6,49.65,Super Heroes Marvel > Spider-Man,0.61662
76138,Batman and The Joker Escape,2019,171,4,112.74,2,4.6,70.54,Super Heroes DC > Batman,0.62569
76144,Avengers Hulk Helicopter Rescue,2019,483,5,177.18,2,4.8,111.2,Super Heroes Marvel > Avengers,0.62761
10260,Downtown Diner,2018,2480,6,418.83,6,4.9,495.31,Modular Buildings,1.1826
10261,Roller Coaster,2018,4124,11,966.57,11,4.9,794.83,Creator > Creator Expert,0.82232
10268,Vestas Wind Turbine,2018,834,3,515.49,3,4.9,400.28,Creator > Creator Expert,0.7765
10712,Bricks and Gears,2018,244,0,57.96,0,4.6,41.43,Classic,0.7148
10717,Bricks Bricks Bricks,2018,1500,0,161.07,0,4.6,119.33,Classic,0.74086
21047,Las Vegas,2018,501,0,112.74,0,4.9,117.74,Architecture > Skylines,1.04435
21139,The Nether Fight,2018,84,3,41.86,0,4.7,37.12,Minecraft,0.88677
21140,The Chicken Coop,2018,198,1,64.4,0,4.7,56,Minecraft,0.86957
21141,The Zombie Cave,2018,241,3,64.4,1,4.7,46.91,Minecraft,0.72842
21144,The Farm Cottage,2018,549,3,209.4,0,4.8,131.11,Minecraft,0.62612
21145,The Skull Arena,2018,198,2,64.4,2,4.7,56.25,Minecraft,0.87345
